Martial Status,Sex,Year,Age,Education,Job,Skill Level,Area Type,Type of unemployment
Married,Female,2008,50,Basic,Accountant,advanced,Urban,Have a job
Single,Both,2006,21,Less than basic,Teacher,No skill,Rural,Have a job
Married,Male,2000,64,Advanced,Doctor,NaN,Urban,Don't have a job
Widowed,Male,2007,44,Less than basic,Car driver,medium,Urban,Don't have a job
Widowed,Female,2018,35,Basic,Accountant,medium,Urban,Don't have a job
Divorced of separated legally,Female,2002,18,Advanced,Doctor,advanced,Urban,Have a job
NaN,Female,2005,55,Intermediate,Doctor,No skill,Rural,Don't have a job
Married,Female,2015,26,Less than basic,Accountant,advanced,National,Have a job
Widowed,Male,2021,32,Intermediate,Artist,medium,Rural,Have a job
Married,Female,2004,45,NaN,Accountant,NaN,National,Don't have a job
Divorced of separated legally,Female,2010,41,Advanced,Car driver,No skill,Rural,Don't have a job
NaN,Both,2021,53,Basic,IT Developer,low,Rural,Have a job
NaN,Female,2021,18,Advanced,Doctor,medium,National,Don't have a job
NaN,Female,2017,15,Advanced,Banker,medium,Rural,Don't have a job
Married,Both,2000,26,Advanced,Architect,medium,Urban,Have a job
Divorced of separated legally,Male,2022,29,Advanced,Doctor,low,National,Have a job
Divorced of separated legally,Male,2021,15,NaN,IT Developer,low,National,Have a job
Widowed,Male,2002,32,Intermediate,Car driver,medium,Rural,Don't have a job
NaN,Male,2015,48,NaN,Doctor,medium,Urban,Don't have a job
Divorced of separated legally,Male,2010,42,Intermediate,IT Developer,advanced,Urban,Have a job
Widowed,Male,2005,25,Advanced,Architect,medium,Rural,Don't have a job
Married,Both,2007,24,Less than basic,Teacher,low,Rural,Have a job
Widowed,Both,2017,48,Basic,Artist,medium,Rural,Have a job
Single,Male,2004,41,Advanced,Car driver,advanced,Urban,Don't have a job
Married,Female,2020,19,Advanced,Banker,low,National,Don't have a job
Single,Both,2020,47,NaN,Car driver,low,Urban,Have a job
Divorced of separated legally,Female,2004,42,Intermediate,Car driver,medium,Rural,Have a job
Single,Male,2019,20,NaN,Doctor,advanced,Urban,Have a job
Divorced of separated legally,Both,2021,29,Less than basic,IT Developer,low,Rural,Have a job
NaN,Male,2023,28,Less than basic,Banker,NaN,Urban,Have a job
Widowed,Male,2006,37,Less than basic,Doctor,medium,National,Don't have a job
Single,Female,2008,19,NaN,Banker,medium,National,Have a job
Single,Male,2018,30,Less than basic,Artist,No skill,Urban,Have a job
Widowed,Female,2017,52,Advanced,Banker,No skill,Urban,Have a job
Married,Male,2010,61,Basic,Accountant,NaN,National,Have a job
Married,Female,2015,29,Advanced,Accountant,NaN,Urban,Have a job
NaN,Male,2019,54,NaN,Car driver,medium,Urban,Don't have a job
NaN,Female,2022,48,Basic,Accountant,advanced,Rural,Have a job
Single,Male,2011,52,Advanced,Car driver,medium,National,Have a job
Divorced of separated legally,Both,2009,64,Basic,Accountant,No skill,Rural,Have a job
Single,Male,2017,53,Less than basic,Teacher,low,Urban,Have a job
Married,Female,2002,53,Basic,Car driver,advanced,Urban,Don't have a job
NaN,Both,2015,40,Less than basic,IT Developer,low,Urban,Have a job
Widowed,Female,2021,42,NaN,Artist,advanced,Urban,Don't have a job
NaN,Both,2016,33,Advanced,Accountant,NaN,Urban,Have a job
NaN,Female,2023,21,NaN,Banker,No skill,National,Have a job
Single,Male,2015,43,Advanced,Accountant,advanced,Urban,Don't have a job
Divorced of separated legally,Female,2009,21,NaN,Banker,low,Rural,Have a job
NaN,Female,2001,43,Advanced,Accountant,NaN,Urban,Have a job
Married,Both,2017,48,Intermediate,Teacher,NaN,Urban,Don't have a job
Divorced of separated legally,Female,2003,40,NaN,Architect,NaN,National,Have a job
Divorced of separated legally,Female,2017,64,NaN,Banker,medium,National,Have a job
NaN,Male,2013,35,NaN,Architect,No skill,Rural,Don't have a job
Single,Male,2021,65,Basic,Artist,NaN,Rural,Have a job
Married,Male,2019,33,Basic,Banker,advanced,Urban,Have a job
Married,Female,2008,28,NaN,Banker,No skill,National,Have a job
Single,Both,2019,49,Advanced,Accountant,NaN,Rural,Don't have a job
Widowed,Both,2020,65,Basic,IT Developer,advanced,Rural,Have a job
NaN,Female,2017,40,Less than basic,Architect,medium,Urban,Have a job
NaN,Female,2022,15,Intermediate,Doctor,advanced,National,Don't have a job
NaN,Male,2002,52,Basic,Teacher,medium,Urban,Have a job
NaN,Male,2023,47,Advanced,Banker,NaN,National,Don't have a job
Divorced of separated legally,Both,2023,29,Basic,Architect,medium,Urban,Have a job
Widowed,Both,2002,35,Less than basic,Architect,advanced,Rural,Have a job
Divorced of separated legally,Both,2019,38,NaN,Banker,NaN,National,Don't have a job
Single,Both,2002,44,Basic,Car driver,advanced,Urban,Have a job
Divorced of separated legally,Male,2016,49,Basic,Banker,advanced,Urban,Don't have a job
NaN,Both,2007,38,Basic,Doctor,NaN,Urban,Have a job
NaN,Female,2016,33,Intermediate,Banker,No skill,National,Don't have a job
Widowed,Male,2008,58,Intermediate,Architect,medium,National,Don't have a job
Married,Female,2011,15,NaN,Banker,No skill,National,Have a job
Divorced of separated legally,Both,2019,53,Advanced,Teacher,low,Urban,Don't have a job
Single,Both,2004,47,Advanced,Accountant,advanced,Rural,Don't have a job
NaN,Both,2003,53,Basic,Banker,NaN,Rural,Don't have a job
Single,Female,2017,18,Basic,Architect,advanced,Rural,Don't have a job
Single,Both,2020,39,NaN,Architect,NaN,Urban,Don't have a job
Married,Male,2020,20,Advanced,Doctor,medium,National,Have a job
Widowed,Male,2002,45,Basic,Car driver,low,Rural,Have a job
NaN,Female,2000,18,NaN,Doctor,low,Rural,Have a job
Divorced of separated legally,Male,2001,17,Less than basic,Car driver,low,Urban,Don't have a job
Divorced of separated legally,Male,2006,43,Intermediate,Architect,NaN,National,Don't have a job
Single,Both,2001,40,Intermediate,Car driver,medium,National,Don't have a job
NaN,Both,2001,29,Basic,Architect,No skill,Rural,Don't have a job
Widowed,Male,2000,36,Intermediate,Accountant,advanced,Urban,Have a job
Married,Male,2000,21,Intermediate,Car driver,NaN,National,Have a job
Widowed,Both,2021,65,Less than basic,Teacher,medium,Urban,Don't have a job
Divorced of separated legally,Both,2007,29,Advanced,Banker,low,Urban,Don't have a job
Single,Both,2020,42,Intermediate,Car driver,No skill,Urban,Don't have a job
Single,Female,2003,42,NaN,Architect,advanced,Rural,Don't have a job
Married,Male,2008,25,NaN,Architect,No skill,Rural,Don't have a job
Single,Both,2000,22,Advanced,Doctor,low,Urban,Have a job
NaN,Both,2020,38,Less than basic,Accountant,medium,National,Don't have a job
Widowed,Male,2004,57,Intermediate,Car driver,medium,Rural,Have a job
Divorced of separated legally,Female,2012,48,Intermediate,IT Developer,NaN,Urban,Have a job
NaN,Both,2014,46,Advanced,Car driver,low,National,Have a job
NaN,Male,2002,60,Advanced,Teacher,No skill,National,Don't have a job
Single,Both,2010,17,Intermediate,Artist,advanced,Rural,Have a job
Single,Female,2008,53,Advanced,Car driver,NaN,Urban,Don't have a job
Divorced of separated legally,Both,2014,61,Less than basic,Banker,No skill,National,Don't have a job
NaN,Male,2001,30,Advanced,Teacher,NaN,Rural,Have a job
Divorced of separated legally,Both,2015,30,Basic,Artist,medium,Urban,Have a job
NaN,Both,2003,18,Advanced,Teacher,NaN,Rural,Have a job
Married,Male,2013,37,Less than basic,Doctor,No skill,Urban,Don't have a job
Married,Male,2000,19,Basic,Car driver,low,National,Have a job
NaN,Male,2012,24,Basic,Teacher,advanced,Rural,Don't have a job
Single,Both,2007,19,Basic,Banker,low,National,Don't have a job
Widowed,Female,2009,59,NaN,IT Developer,advanced,Urban,Don't have a job
Widowed,Female,2013,42,Less than basic,Accountant,advanced,Rural,Have a job
Single,Female,2021,23,Intermediate,Car driver,medium,Rural,Don't have a job
Widowed,Both,2022,20,NaN,Teacher,No skill,National,Don't have a job
NaN,Female,2018,17,Intermediate,Accountant,low,National,Don't have a job
Single,Both,2004,31,Basic,IT Developer,advanced,Rural,Don't have a job
Single,Male,2003,47,Less than basic,Architect,NaN,Rural,Have a job
Single,Male,2011,41,NaN,Car driver,low,National,Have a job
Divorced of separated legally,Male,2010,39,Less than basic,Architect,advanced,Urban,Don't have a job
Married,Both,2018,52,Advanced,IT Developer,advanced,Rural,Have a job
Single,Male,2023,48,Basic,IT Developer,medium,National,Have a job
Widowed,Female,2021,60,Less than basic,Doctor,medium,Urban,Don't have a job
Divorced of separated legally,Both,2015,51,Basic,Architect,low,National,Have a job
Married,Both,2013,15,Basic,Car driver,advanced,Urban,Don't have a job
Divorced of separated legally,Male,2000,36,NaN,Architect,NaN,Rural,Have a job
Single,Female,2011,16,Intermediate,Architect,No skill,Urban,Have a job
Widowed,Both,2000,31,Less than basic,Artist,low,National,Don't have a job
Married,Male,2006,48,Advanced,Architect,medium,National,Don't have a job
Divorced of separated legally,Female,2001,19,Basic,Accountant,advanced,Urban,Have a job
Widowed,Both,2010,46,Basic,Car driver,No skill,Rural,Have a job
Single,Female,2002,61,Advanced,Banker,advanced,National,Have a job
Married,Both,2001,27,Advanced,Banker,medium,Urban,Have a job
NaN,Male,2015,32,Intermediate,Car driver,NaN,Rural,Have a job
Married,Male,2017,15,Intermediate,Doctor,low,Urban,Have a job
Single,Both,2002,45,NaN,Teacher,medium,National,Don't have a job
NaN,Both,2003,19,Basic,Banker,medium,Urban,Have a job
Divorced of separated legally,Male,2011,61,NaN,Accountant,low,Rural,Have a job
Divorced of separated legally,Both,2022,51,NaN,Doctor,NaN,Urban,Have a job
Divorced of separated legally,Male,2019,27,Intermediate,IT Developer,advanced,National,Don't have a job
Divorced of separated legally,Both,2019,17,Intermediate,Teacher,No skill,Rural,Don't have a job
Widowed,Female,2016,31,Intermediate,Teacher,low,National,Have a job
NaN,Male,2014,34,NaN,Artist,low,National,Don't have a job
Widowed,Both,2016,17,Basic,Architect,No skill,Rural,Have a job
Single,Both,2018,30,Less than basic,Car driver,medium,Rural,Have a job
Single,Male,2006,29,Intermediate,Banker,advanced,National,Don't have a job
Divorced of separated legally,Male,2014,41,Intermediate,Car driver,advanced,Rural,Have a job
Single,Female,2006,20,Less than basic,IT Developer,low,Rural,Have a job
Widowed,Both,2004,59,NaN,Artist,NaN,Rural,Don't have a job
Married,Both,2019,40,Intermediate,Architect,NaN,Rural,Have a job
Single,Both,2002,16,Basic,Banker,NaN,Urban,Have a job
NaN,Male,2009,65,Intermediate,Doctor,No skill,Rural,Have a job
NaN,Male,2018,56,Advanced,Teacher,No skill,Rural,Don't have a job
Single,Both,2009,48,NaN,Car driver,medium,Rural,Don't have a job
Widowed,Female,2005,59,Basic,Car driver,medium,Urban,Have a job
Single,Female,2003,58,Intermediate,Teacher,low,Urban,Don't have a job
Divorced of separated legally,Both,2019,15,Advanced,Architect,medium,Rural,Don't have a job
NaN,Both,2004,42,Advanced,Artist,No skill,National,Have a job
Divorced of separated legally,Female,2001,50,Basic,IT Developer,advanced,Rural,Don't have a job
Married,Both,2009,56,Intermediate,Artist,No skill,Rural,Don't have a job
Widowed,Both,2019,52,NaN,Doctor,medium,Urban,Don't have a job
Married,Male,2018,59,Advanced,Teacher,low,Rural,Don't have a job
Single,Both,2000,60,NaN,Teacher,NaN,Urban,Don't have a job
Divorced of separated legally,Female,2008,28,NaN,IT Developer,medium,Urban,Have a job
Divorced of separated legally,Both,2008,57,Intermediate,Doctor,medium,National,Don't have a job
Single,Both,2001,44,Less than basic,Architect,medium,National,Don't have a job
Divorced of separated legally,Female,2014,59,Less than basic,Architect,No skill,Rural,Have a job
NaN,Male,2003,26,Intermediate,Artist,advanced,National,Have a job
Widowed,Both,2019,23,Intermediate,Accountant,NaN,National,Don't have a job
Widowed,Male,2012,59,Basic,IT Developer,NaN,Rural,Have a job
Married,Both,2017,41,Advanced,Artist,advanced,Urban,Don't have a job
Single,Both,2002,38,NaN,Artist,advanced,Urban,Have a job
Married,Both,2016,40,Intermediate,Artist,No skill,Rural,Don't have a job
Widowed,Male,2007,53,Advanced,Accountant,NaN,Urban,Have a job
Single,Both,2016,52,NaN,Accountant,No skill,Rural,Have a job
Divorced of separated legally,Both,2022,49,Advanced,IT Developer,NaN,National,Don't have a job
Divorced of separated legally,Female,2005,42,NaN,Accountant,advanced,Rural,Have a job
Widowed,Male,2012,18,Less than basic,Doctor,medium,National,Don't have a job
Married,Male,2009,23,Intermediate,Artist,medium,Rural,Have a job
Widowed,Both,2013,15,Basic,IT Developer,medium,National,Don't have a job
NaN,Male,2021,44,Less than basic,Teacher,NaN,National,Have a job
Single,Female,2009,35,Advanced,Architect,low,National,Have a job
Divorced of separated legally,Male,2023,40,Intermediate,Banker,low,National,Have a job
Single,Both,2017,18,Basic,Architect,No skill,National,Have a job
Divorced of separated legally,Male,2014,34,Intermediate,Car driver,low,Rural,Have a job
Single,Both,2000,33,Less than basic,Banker,No skill,Urban,Have a job
NaN,Female,2000,20,Intermediate,Car driver,No skill,Urban,Have a job
Single,Both,2004,33,NaN,Banker,No skill,Rural,Have a job
Single,Both,2004,35,Intermediate,Teacher,NaN,Rural,Have a job
NaN,Female,2002,56,Basic,Accountant,medium,National,Don't have a job
Married,Both,2019,40,NaN,Architect,NaN,Urban,Don't have a job
Widowed,Both,2014,64,Less than basic,Architect,No skill,Rural,Don't have a job
Divorced of separated legally,Both,2016,37,NaN,Artist,NaN,National,Don't have a job
Divorced of separated legally,Both,2008,20,Basic,Banker,low,Rural,Don't have a job
Divorced of separated legally,Male,2003,57,Advanced,IT Developer,low,Rural,Have a job
Widowed,Female,2022,19,Intermediate,Architect,No skill,National,Don't have a job
NaN,Male,2008,29,Basic,Doctor,NaN,National,Have a job
Single,Female,2019,18,Advanced,Doctor,NaN,National,Have a job
Widowed,Male,2021,32,Less than basic,IT Developer,NaN,Urban,Don't have a job
Single,Male,2007,23,Advanced,Artist,NaN,Urban,Don't have a job
Divorced of separated legally,Male,2022,51,Advanced,IT Developer,No skill,National,Have a job
Single,Both,2019,41,Advanced,Banker,advanced,National,Have a job
Single,Male,2016,59,Advanced,Doctor,No skill,Rural,Don't have a job
Married,Female,2003,60,Less than basic,Car driver,No skill,Urban,Have a job
Married,Male,2004,37,Advanced,Doctor,No skill,National,Don't have a job
Divorced of separated legally,Female,2013,21,Intermediate,Architect,medium,National,Have a job
NaN,Female,2003,20,NaN,Banker,NaN,Urban,Don't have a job
Divorced of separated legally,Both,2006,23,Intermediate,Doctor,NaN,National,Have a job
NaN,Male,2004,41,Less than basic,Accountant,medium,Rural,Have a job
Single,Female,2011,15,Basic,Accountant,advanced,National,Don't have a job
Divorced of separated legally,Male,2015,50,Basic,Teacher,low,Urban,Don't have a job
Single,Male,2018,33,NaN,Accountant,low,Urban,Have a job
Married,Female,2010,21,Advanced,IT Developer,low,Rural,Don't have a job
NaN,Female,2016,51,Intermediate,Car driver,medium,Rural,Don't have a job
Widowed,Male,2011,15,Basic,Doctor,advanced,National,Have a job
Married,Female,2003,18,Less than basic,IT Developer,advanced,Rural,Don't have a job
Single,Male,2018,20,Advanced,IT Developer,medium,National,Don't have a job
Single,Female,2015,65,Intermediate,Banker,No skill,National,Have a job
Widowed,Male,2011,38,Basic,Car driver,low,Urban,Don't have a job
Married,Male,2012,16,Basic,Architect,advanced,National,Don't have a job
Divorced of separated legally,Female,2000,64,Advanced,IT Developer,low,National,Don't have a job
NaN,Female,2020,19,Intermediate,Doctor,advanced,Urban,Have a job
Single,Female,2010,63,Advanced,Doctor,low,National,Have a job
NaN,Female,2000,49,Intermediate,IT Developer,No skill,National,Don't have a job
Single,Female,2018,56,Less than basic,Architect,advanced,National,Don't have a job
Divorced of separated legally,Both,2006,55,Less than basic,Teacher,medium,Urban,Have a job
Divorced of separated legally,Female,2007,41,Basic,IT Developer,advanced,Urban,Have a job
Divorced of separated legally,Both,2004,35,Advanced,Teacher,medium,National,Don't have a job
NaN,Female,2014,16,NaN,Teacher,advanced,National,Have a job
Single,Both,2014,63,NaN,Accountant,No skill,Rural,Don't have a job
Single,Female,2007,19,Basic,Banker,low,Urban,Don't have a job
Divorced of separated legally,Female,2001,50,Intermediate,Car driver,advanced,Rural,Don't have a job
NaN,Female,2021,19,Less than basic,Banker,medium,National,Don't have a job
Married,Both,2001,29,Basic,Car driver,medium,Rural,Don't have a job
Widowed,Female,2020,56,Less than basic,Artist,medium,Rural,Have a job
Married,Both,2008,34,Basic,Architect,advanced,Urban,Don't have a job
Married,Female,2002,23,Advanced,IT Developer,advanced,Urban,Don't have a job
Divorced of separated legally,Both,2012,40,Intermediate,IT Developer,medium,National,Have a job
Single,Male,2007,39,Less than basic,Architect,low,National,Don't have a job
Divorced of separated legally,Both,2015,28,Advanced,IT Developer,NaN,Rural,Have a job
Married,Male,2021,20,Basic,Artist,medium,National,Don't have a job
Widowed,Both,2021,28,Basic,Teacher,low,National,Have a job
Single,Male,2022,20,Less than basic,Accountant,low,Rural,Have a job
Married,Both,2006,22,NaN,Accountant,advanced,National,Don't have a job
Divorced of separated legally,Both,2005,50,Less than basic,Banker,NaN,National,Have a job
NaN,Female,2022,20,Advanced,Doctor,NaN,Rural,Don't have a job
Married,Both,2010,54,Advanced,IT Developer,medium,Rural,Don't have a job
Widowed,Both,2001,24,NaN,IT Developer,low,Rural,Don't have a job
Married,Male,2023,26,Advanced,Architect,No skill,Urban,Have a job
Single,Male,2007,39,Basic,Teacher,NaN,Rural,Have a job
NaN,Male,2012,29,NaN,IT Developer,low,Rural,Don't have a job
Single,Female,2019,64,NaN,Banker,NaN,Rural,Have a job
Single,Female,2012,27,Advanced,Doctor,low,National,Have a job
NaN,Male,2010,45,Basic,Accountant,NaN,National,Don't have a job
Divorced of separated legally,Both,2002,59,Less than basic,Architect,No skill,National,Don't have a job
Widowed,Male,2015,51,Advanced,Architect,No skill,Rural,Have a job
Divorced of separated legally,Male,2016,42,NaN,Doctor,low,National,Don't have a job
NaN,Female,2013,31,Basic,Teacher,No skill,Urban,Have a job
Widowed,Both,2010,53,Less than basic,Teacher,advanced,Rural,Have a job
Married,Female,2023,60,Basic,IT Developer,medium,Urban,Have a job
Single,Both,2007,61,Basic,Artist,advanced,National,Don't have a job
Married,Both,2018,57,Intermediate,Artist,low,Rural,Don't have a job
Divorced of separated legally,Male,2005,26,Basic,Doctor,No skill,Rural,Have a job
NaN,Male,2015,22,Basic,Artist,advanced,National,Don't have a job
Married,Male,2014,57,Advanced,Artist,low,Urban,Don't have a job
Married,Female,2001,53,Basic,Accountant,No skill,Rural,Don't have a job
Single,Female,2007,37,Advanced,Banker,advanced,Rural,Have a job
Widowed,Both,2004,63,Advanced,Banker,NaN,National,Have a job
Single,Female,2011,53,NaN,IT Developer,medium,Rural,Have a job
Single,Female,2022,20,Less than basic,Artist,medium,Urban,Don't have a job
NaN,Male,2022,19,Basic,Artist,NaN,National,Have a job
Divorced of separated legally,Female,2002,54,Less than basic,Car driver,No skill,Rural,Don't have a job
Single,Female,2019,41,Basic,Banker,advanced,Rural,Have a job
Widowed,Male,2007,32,Less than basic,Banker,No skill,National,Don't have a job
Married,Both,2000,63,Basic,Artist,medium,National,Have a job
NaN,Both,2005,41,Advanced,Accountant,low,National,Have a job
Single,Male,2012,28,NaN,Doctor,No skill,Urban,Don't have a job
Married,Male,2003,63,Advanced,Artist,advanced,Urban,Don't have a job
Single,Female,2014,26,Advanced,Artist,low,Rural,Have a job
Divorced of separated legally,Both,2018,43,Less than basic,Car driver,No skill,Rural,Don't have a job
Single,Female,2000,29,Intermediate,Car driver,No skill,National,Don't have a job
Widowed,Male,2011,29,NaN,Artist,No skill,National,Have a job
Divorced of separated legally,Both,2020,28,NaN,Architect,NaN,National,Have a job
Married,Female,2006,18,Advanced,Car driver,No skill,National,Have a job
Widowed,Male,2015,45,NaN,Artist,medium,Urban,Have a job
NaN,Female,2011,65,Less than basic,Architect,NaN,Urban,Don't have a job
Married,Male,2003,55,Intermediate,Car driver,low,Urban,Don't have a job
NaN,Male,2013,40,Less than basic,Car driver,No skill,Rural,Don't have a job
Married,Male,2007,56,NaN,Banker,low,National,Have a job
Widowed,Female,2013,47,NaN,Teacher,medium,Rural,Don't have a job
Married,Male,2009,24,Intermediate,Accountant,low,Urban,Have a job
Single,Female,2004,23,Less than basic,Banker,No skill,National,Have a job
Widowed,Female,2002,16,Basic,Architect,medium,Urban,Have a job
NaN,Both,2019,17,NaN,Architect,No skill,Rural,Have a job
Single,Female,2000,26,Advanced,Artist,advanced,Urban,Have a job
Single,Female,2016,45,Less than basic,Accountant,low,Urban,Don't have a job
Divorced of separated legally,Both,2002,18,Basic,Doctor,advanced,National,Have a job
Divorced of separated legally,Female,2009,53,Less than basic,Doctor,NaN,Rural,Don't have a job
Widowed,Male,2022,53,Intermediate,Banker,low,Rural,Have a job
NaN,Male,2000,30,Advanced,Architect,medium,Urban,Have a job
Single,Male,2017,16,Advanced,Architect,low,Rural,Have a job
Married,Female,2018,48,Basic,Accountant,No skill,Rural,Have a job
Single,Male,2003,19,Basic,Banker,No skill,Urban,Don't have a job
Single,Female,2020,61,Basic,Banker,advanced,Rural,Have a job
Single,Male,2003,53,NaN,Artist,low,Rural,Don't have a job
Divorced of separated legally,Both,2015,16,Basic,Car driver,low,Urban,Have a job
Married,Male,2014,35,Less than basic,Car driver,advanced,Urban,Don't have a job
Single,Both,2012,25,Basic,Car driver,No skill,National,Don't have a job
Widowed,Female,2013,48,Basic,Architect,low,Rural,Have a job
NaN,Both,2005,29,Intermediate,Accountant,low,National,Have a job
Widowed,Female,2015,16,Less than basic,Teacher,low,Urban,Have a job
NaN,Both,2002,45,NaN,Car driver,NaN,Rural,Don't have a job
Widowed,Male,2016,21,Less than basic,IT Developer,No skill,Rural,Have a job
Married,Female,2016,32,Advanced,Teacher,medium,Urban,Have a job
Divorced of separated legally,Female,2017,54,Less than basic,Doctor,medium,National,Don't have a job
NaN,Male,2021,17,NaN,Teacher,NaN,Urban,Have a job
Widowed,Female,2018,54,NaN,Accountant,NaN,Rural,Have a job
Single,Male,2017,30,Basic,Car driver,No skill,National,Have a job
Single,Both,2002,25,Intermediate,Doctor,NaN,Urban,Don't have a job
Married,Female,2004,54,Less than basic,Teacher,NaN,Rural,Don't have a job
Married,Female,2012,45,Less than basic,Teacher,low,National,Don't have a job
Single,Both,2022,37,NaN,Doctor,NaN,Urban,Don't have a job
Married,Both,2017,64,NaN,Teacher,medium,National,Don't have a job
Widowed,Male,2005,24,Basic,Teacher,NaN,Urban,Don't have a job
NaN,Both,2017,16,Basic,Doctor,medium,Rural,Have a job
Divorced of separated legally,Female,2019,52,Basic,Artist,advanced,Urban,Have a job
NaN,Both,2015,33,Intermediate,Teacher,low,Urban,Have a job
Married,Female,2011,48,Advanced,Car driver,medium,Urban,Have a job
Married,Male,2020,64,NaN,Artist,medium,Urban,Have a job
Single,Female,2009,56,Less than basic,Architect,low,National,Have a job
NaN,Male,2006,27,Intermediate,Teacher,No skill,Rural,Have a job
Married,Male,2013,37,NaN,Architect,low,National,Have a job
Single,Both,2003,49,Less than basic,Artist,low,National,Have a job
NaN,Both,2010,48,Advanced,Car driver,advanced,National,Don't have a job
NaN,Both,2010,22,Basic,IT Developer,No skill,National,Don't have a job
Divorced of separated legally,Both,2017,39,NaN,Artist,medium,Urban,Don't have a job
Divorced of separated legally,Both,2005,57,Intermediate,Teacher,low,Rural,Don't have a job
Married,Male,2000,27,Intermediate,Doctor,low,Urban,Don't have a job
Widowed,Female,2004,51,Less than basic,Accountant,medium,National,Don't have a job
Married,Male,2006,54,Less than basic,Doctor,No skill,Urban,Don't have a job
Single,Both,2000,20,NaN,Architect,NaN,Rural,Have a job
Widowed,Both,2022,16,Basic,Teacher,advanced,National,Don't have a job
Single,Male,2019,39,Basic,Doctor,advanced,Urban,Don't have a job
Divorced of separated legally,Female,2003,17,NaN,Car driver,low,Rural,Don't have a job
NaN,Female,2004,63,NaN,Car driver,medium,National,Have a job
Widowed,Female,2005,34,NaN,IT Developer,low,Urban,Have a job
Widowed,Female,2018,25,Less than basic,Banker,advanced,Urban,Don't have a job
Married,Female,2008,20,Less than basic,Artist,low,Rural,Have a job
Married,Female,2003,21,Less than basic,Teacher,No skill,Rural,Have a job
Widowed,Male,2001,52,Advanced,Banker,medium,Urban,Have a job
NaN,Male,2017,41,Intermediate,Doctor,advanced,National,Have a job
NaN,Both,2004,46,Advanced,Car driver,No skill,National,Have a job
Divorced of separated legally,Female,2002,40,Intermediate,IT Developer,No skill,Urban,Have a job
Widowed,Male,2011,35,NaN,Doctor,No skill,Urban,Don't have a job
NaN,Male,2006,54,Basic,Banker,medium,Urban,Don't have a job
Divorced of separated legally,Male,2018,50,Intermediate,Artist,No skill,Urban,Don't have a job
Divorced of separated legally,Male,2018,24,Intermediate,Doctor,low,National,Don't have a job
Married,Female,2015,43,NaN,Banker,medium,Urban,Have a job
Widowed,Male,2014,16,Advanced,IT Developer,low,Rural,Don't have a job
Widowed,Both,2008,15,Advanced,IT Developer,advanced,National,Have a job
Widowed,Both,2010,33,Basic,Artist,No skill,Rural,Don't have a job
Divorced of separated legally,Male,2003,63,Intermediate,Car driver,medium,Urban,Don't have a job
Widowed,Female,2003,61,Less than basic,Car driver,No skill,Rural,Have a job
Single,Male,2003,63,NaN,IT Developer,advanced,National,Don't have a job
NaN,Both,2010,36,Advanced,Car driver,low,National,Don't have a job
Widowed,Male,2004,49,Intermediate,IT Developer,No skill,National,Don't have a job
Single,Both,2009,49,Advanced,IT Developer,NaN,Rural,Have a job
Widowed,Female,2001,38,Less than basic,Teacher,No skill,Rural,Have a job
Divorced of separated legally,Both,2023,26,Basic,IT Developer,medium,Rural,Don't have a job
Widowed,Male,2005,17,NaN,Teacher,advanced,Urban,Don't have a job
NaN,Male,2022,51,Less than basic,Artist,low,Urban,Have a job
Single,Both,2020,53,Intermediate,Doctor,No skill,Rural,Don't have a job
NaN,Both,2015,53,NaN,Teacher,medium,Urban,Have a job
Divorced of separated legally,Male,2010,21,NaN,IT Developer,No skill,Rural,Have a job
Divorced of separated legally,Male,2011,29,Advanced,Architect,No skill,Rural,Don't have a job
Widowed,Female,2010,26,Advanced,Artist,low,National,Don't have a job
Single,Female,2003,36,Intermediate,Teacher,NaN,National,Have a job
NaN,Female,2023,16,Basic,Doctor,NaN,Urban,Don't have a job
Widowed,Both,2009,40,Basic,Car driver,medium,Urban,Don't have a job
NaN,Female,2018,27,Less than basic,Teacher,NaN,Rural,Have a job
Widowed,Both,2008,20,Intermediate,Car driver,medium,Urban,Have a job
Divorced of separated legally,Female,2016,20,Basic,IT Developer,advanced,National,Have a job
Married,Both,2015,62,Basic,Car driver,medium,Urban,Don't have a job
NaN,Female,2004,31,NaN,Artist,No skill,Rural,Don't have a job
Married,Male,2005,28,Basic,Banker,NaN,National,Don't have a job
NaN,Female,2000,47,NaN,Doctor,NaN,Urban,Have a job
Divorced of separated legally,Male,2019,44,NaN,Accountant,NaN,Urban,Have a job
Widowed,Male,2002,47,Intermediate,Car driver,NaN,National,Don't have a job
NaN,Both,2002,26,Less than basic,Car driver,NaN,Rural,Have a job
Widowed,Female,2004,36,Intermediate,IT Developer,advanced,Rural,Don't have a job
Divorced of separated legally,Female,2009,47,Less than basic,Teacher,advanced,Rural,Have a job
Divorced of separated legally,Female,2007,60,Intermediate,IT Developer,low,Urban,Don't have a job
Divorced of separated legally,Both,2015,29,Intermediate,Teacher,low,National,Don't have a job
NaN,Both,2007,24,Basic,Architect,advanced,National,Have a job
Divorced of separated legally,Both,2021,39,Less than basic,IT Developer,medium,Rural,Have a job
Widowed,Male,2002,59,Intermediate,Doctor,No skill,Urban,Have a job
Single,Female,2004,20,Less than basic,Artist,medium,Rural,Have a job
Married,Both,2022,15,Less than basic,IT Developer,NaN,Urban,Have a job
NaN,Both,2013,22,Intermediate,Doctor,low,National,Have a job
